CategoryId,CategoryName,Clevel,ParentId,ParentName,Trees,StylePos
50015887,连体书桌柜,3,50001705,柜类,家装家饰→住宅家具→柜类→连体书桌柜,20
50020645,吊柜/壁柜,3,50001705,柜类,家装家饰→住宅家具→柜类→吊柜/壁柜,35
50022455,顶箱柜,3,50001705,柜类,家装家饰→住宅家具→柜类→顶箱柜,17
50022489,佛柜/佛龛,3,50001705,柜类,家装家饰→住宅家具→柜类→佛柜/佛龛,NULL
122862003,飘窗柜,3,50001705,柜类,家装家饰→住宅家具→柜类→飘窗柜,2
50008280,桌类,2,50008164,住宅家具,家装家饰→住宅家具→桌类,NULL
50010098,麻将桌,3,50008280,桌类,家装家饰→住宅家具→桌类→麻将桌,17
211502,其他桌类,3,50008280,桌类,家装家饰→住宅家具→桌类→其他桌类,8
50001403,餐桌,3,50008280,桌类,家装家饰→住宅家具→桌类→餐桌,18
50001415,折叠桌,3,50008280,桌类,家装家饰→住宅家具→桌类→折叠桌,11
50001732,书桌,3,50008280,桌类,家装家饰→住宅家具→桌类→书桌,20
50003823,电脑桌,3,50008280,桌类,家装家饰→住宅家具→桌类→电脑桌,23
50001385,梳妆台/桌,3,50008280,桌类,家装家饰→住宅家具→桌类→梳妆台/桌,17
50015639,桌子配件,3,50008280,桌类,家装家饰→住宅家具→桌类→桌子配件,NULL
50015821,琴桌,3,50008280,桌类,家装家饰→住宅家具→桌类→琴桌,7
50015822,棋桌,3,50008280,桌类,家装家饰→住宅家具→桌类→棋桌,10
50015834,儿童学习桌,3,50008280,桌类,家装家饰→住宅家具→桌类→儿童学习桌,16
50022491,供桌,3,50008280,桌类,家装家饰→住宅家具→桌类→供桌,NULL
50022492,经桌,3,50008280,桌类,家装家饰→住宅家具→桌类→经桌,NULL
50015200,床类,2,50008164,住宅家具,家装家饰→住宅家具→床类,NULL
50020001,藤艺床,3,50015200,床类,家装家饰→住宅家具→床类→藤艺床,16
50015202,高低/子母床,3,50015200,床类,家装家饰→住宅家具→床类→高低/子母床,18
50015825,婴儿床,3,50015200,床类,家装家饰→住宅家具→床类→婴儿床,13
50015827,儿童床,3,50015200,床类,家装家饰→住宅家具→床类→儿童床,18
50019997,实木床,3,50015200,床类,家装家饰→住宅家具→床类→实木床,3
50019998,铁艺/钢木床,3,50015200,床类,家装家饰→住宅家具→床类→铁艺/钢木床,21
50019999,布艺床,3,50015200,床类,家装家饰→住宅家具→床类→布艺床,25
50020000,皮艺床,3,50015200,床类,家装家饰→住宅家具→床类→皮艺床,28
50015651,床架/床板,3,50015200,床类,家装家饰→住宅家具→床类→床架/床板,NULL
50020002,板式床,3,50015200,床类,家装家饰→住宅家具→床类→板式床,20
50020626,充气床,3,50015200,床类,家装家饰→住宅家具→床类→充气床,NULL
50020627,折叠床/午休床,3,50015200,床类,家装家饰→住宅家具→床类→折叠床/午休床,NULL
50020629,床配件,3,50015200,床类,家装家饰→住宅家具→床类→床配件,NULL
50022451,罗汉床,3,50015200,床类,家装家饰→住宅家具→床类→罗汉床,NULL
50022453,拔步床/架子床,3,50015200,床类,家装家饰→住宅家具→床类→拔步床/架子床,13
50022704,铜床,3,50015200,床类,家装家饰→住宅家具→床类→铜床,3
122572002,板木结合床,3,50015200,床类,家装家饰→住宅家具→床类→板木结合床,6
50015230,户外/庭院家具,2,50008164,住宅家具,家装家饰→住宅家具→户外/庭院家具,NULL
50005526,户外秋千,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→户外秋千,6
50015231,伞具,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→伞具,NULL
50015233,遮阳伞,4,50015231,伞具,家装家饰→住宅家具→户外/庭院家具→伞具→遮阳伞,NULL
50015234,伞座,4,50015231,伞具,家装家饰→住宅家具→户外/庭院家具→伞具→伞座,NULL
50015232,坐具,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→坐具,NULL
50015236,公园椅,4,50015232,坐具,家装家饰→住宅家具→户外/庭院家具→坐具→公园椅,5
122924002,庭院凳,4,50015232,坐具,家装家饰→住宅家具→户外/庭院家具→坐具→庭院凳,NULL
50015239,桌,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→桌,NULL
50015240,沙滩桌,4,50015239,桌,家装家饰→住宅家具→户外/庭院家具→桌→沙滩桌,5
50015241,公园桌,4,50015239,桌,家装家饰→住宅家具→户外/庭院家具→桌→公园桌,6
50015242,桌椅配套,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→桌椅配套,6
50015243,户外床,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→户外床,NULL
50015244,吊床,4,50015243,户外床,家装家饰→住宅家具→户外/庭院家具→户外床→吊床,7
50015245,躺床,4,50015243,户外床,家装家饰→住宅家具→户外/庭院家具→户外床→躺床,7
50015246,折叠床,4,50015243,户外床,家装家饰→住宅家具→户外/庭院家具→户外床→折叠床,6
50015248,木屋凉亭,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→木屋凉亭,8
50015249,垃圾筒,3,50015230,户外/庭院家具,家装家饰→住宅家具→户外/庭院家具→垃圾筒,7
